,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,ODI_NO
215,33*,33,29,113.79,6,0, West Indies,Thiruvananthapuram,1 Nov 2018,ODI # 4064
216,3,3,8,37.5,0,0, Australia,Sydney,12 Jan 2019,ODI # 4077
217,104,104,112,92.85,5,2, Australia,Adelaide,15 Jan 2019,ODI # 4078
218,46,46,62,74.19,3,0, Australia,Melbourne,18 Jan 2019,ODI # 4079
219,45,45,59,76.27,3,0, New Zealand,Napier,23 Jan 2019,ODI # 4082
220,43,43,45,95.55,5,0, New Zealand,Mount Maunganui,26 Jan 2019,ODI # 4085
221,60,60,74,81.08,6,1, New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088
222,44,44,45,97.77,6,1, Australia,Hyderabad,2 Mar 2019,ODI # 4102
223,116,116,120,96.66,10,0, Australia,Nagpur,5 Mar 2019,ODI # 4106
224,123,123,95,129.47,16,1, Australia,Ranchi,8 Mar 2019,ODI # 4109
225,7,7,6,116.66,1,0, Australia,Mohali,10 Mar 2019,ODI # 4111
226,20,20,22,90.9,2,0, Australia,Delhi,13 Mar 2019,ODI # 4113
227,18,18,34,52.94,1,0, South Africa,Southampton,5 Jun 2019,ODI # 4150
228,82,82,77,106.49,4,2, Australia,The Oval,9 Jun 2019,ODI # 4155
229,77,77,65,118.46,7,0, Pakistan,Manchester,16 Jun 2019,ODI # 4161
230,67,67,63,106.34,5,0, Afghanistan,Southampton,22 Jun 2019,ODI # 4169
231,72,72,82,87.8,8,0, West Indies,Manchester,27 Jun 2019,ODI # 4175
232,66,66,76,86.84,7,0, England,Birmingham,30 Jun 2019,ODI # 4179
233,26,26,27,96.29,3,0, Bangladesh,Birmingham,2 Jul 2019,ODI # 4182
234,34*,34,41,82.92,3,0, Sri Lanka,Leeds,6 Jul 2019,ODI # 4187
235,1,1,6,16.66,0,0, New Zealand,Manchester,9 Jul 2019,ODI # 4190
236,TDNB,0,0,0.0,-,-, West Indies,Providence,8 Aug 2019,ODI # 4196
237,120,120,125,96.0,14,1, West Indies,Port of Spain,11 Aug 2019,ODI # 4197
238,114*,114,99,115.15,14,0, West Indies,Port of Spain,14 Aug 2019,ODI # 4199
